1177,0.01208449,-1.418906E-07,-9.7547E-07,Infinity,Infinity,Infinity,Infinity,Infinity,
1177,0.01208449,-1.418906E-07,-9.7547E-07,100000,0.03722675,-0.03328979,6.372522E-08,-2.626649E-08,
1177,0.01208449,-1.418906E-07,-9.7547E-07,63095.738281,0.02815755,0.04121471,2.306549E-08,6.237107E-08,
1177,0.01208449,-1.418906E-07,-9.7547E-07,39810.722656,-0.04999104,0.001869729,-6.484013E-08,-1.023474E-08,
1179,-0.005253541,-5.6031E-09,-9.866761E-07,25118.869141,-0.05103756,-0.009325188,-6.306754E-08,-2.406914E-08,
1179,-0.005253541,-5.6031E-09,-9.866761E-07,15848.935547,-0.04992605,0.009054932,-6.527469E-08,-2.130117E-09,
1179,-0.005253541,-5.6031E-09,-9.866761E-07,10000.00293,-0.0491803,-0.009751474,-5.643162E-08,-2.909685E-08,
1179,-0.005253541,-5.6031E-09,-9.866761E-07,6309.575684,-0.03902115,0.03157247,-5.907835E-08,1.744767E-08,
1179,-0.005253541,-5.6031E-09,-9.866761E-07,3981.073242,-0.0441186,0.02404691,-5.723751E-08,-4.918955E-09,
1179,-0.005253541,-5.6031E-09,-9.866761E-07,2511.887451,0.02015654,0.04596481,-2.096364E-08,4.516596E-08,
1179,-0.005253541,-5.6031E-09,-9.866761E-07,1584.893921,0.001698013,0.0502212,-3.515645E-08,1.625255E-08,
1179,-0.005253541,-5.6031E-09,-9.866761E-07,1000.000488,0.02000596,-0.04616262,2.462227E-08,9.274227E-09,
1181,0.0003535175,-8.578764E-11,-9.868477E-07,630.957703,0.04962413,-0.00799639,-1.910892E-09,1.543298E-08,
1181,0.0003535175,-8.578764E-11,-9.868477E-07,398.107422,0.04804815,-0.01478632,-2.217383E-09,7.731859E-09,
1181,0.0003535175,-8.578764E-11,-9.868477E-07,251.188812,0.04821634,-0.01426244,-1.816788E-09,3.302549E-09,
1181,0.0003535175,-8.578764E-11,-9.868477E-07,158.489426,-0.03762404,0.03326651,3.024858E-10,-1.631031E-09,
1181,0.0003535175,-8.578764E-11,-9.868477E-07,100.000069,-0.03750118,0.03346483,1.416396E-10,-7.005385E-10,
1181,0.0003535175,-8.578764E-11,-9.868477E-07,63.095779,-0.02334775,-0.04454484,2.857352E-10,1.08484E-10,
1181,0.0003535175,-8.578764E-11,-9.868477E-07,39.810745,0.04175736,-0.02789449,-7.46624E-12,1.320794E-10,
1183,-0.0005392265,-7.543741E-11,-9.869987E-07,25.118883,0.03069082,0.03949888,-5.55522E-11,2.263574E-11,
1183,-0.0005392265,-7.543741E-11,-9.869987E-07,15.848945,0.00988833,0.0490339,-2.8569E-11,1.751705E-11,
1183,-0.0005392265,-7.543741E-11,-9.869987E-07,10.000009,-0.04490073,-0.02188668,-1.591072E-11,-2.60418E-11,
1185,-0.0007584968,5.176323E-12,-9.869883E-07,6.309579,0.01491527,0.04771727,6.881759E-13,3.40603E-11,
1185,-0.0007584968,5.176323E-12,-9.869883E-07,3.981075,-0.03169469,-0.03870066,-1.716798E-11,-3.245117E-11,
1187,-0.002935539,8.443993E-12,-9.869714E-07,2.511889,0.04919922,-0.008652768,3.742191E-11,6.756888E-13,
1189,0.007025604,1.119572E-11,-9.86949E-07,1.584895,0.01853126,0.04643708,6.077718E-12,3.543388E-11,
1191,0.0002125581,1.23996E-11,-9.869242E-07,1.000001,-0.01512241,0.04769578,-1.724659E-11,2.91042E-11,
1193,-0.01225453,2.940547E-12,-9.869183E-07,NaN,NaN,NaN,NaN,NaN,
1195,-0.002403025,1.463537E-11,-9.868891E-07,NaN,NaN,NaN,NaN,NaN,
1197,-0.006475191,8.272012E-12,-9.868725E-07,0.630958,-0.03346683,0.03709996,-2.661105E-11,1.826367E-11,
1199,7.159845E-05,8.767556E-13,-9.868708E-07,NaN,NaN,NaN,NaN,NaN,
1201,0.01637592,1.343149E-11,-9.868438E-07,NaN,NaN,NaN,NaN,NaN,
1203,0.009641187,9.819857E-12,-9.868243E-07,NaN,NaN,NaN,NaN,NaN,
1205,-0.0003199561,2.118479E-11,-9.867819E-07,NaN,NaN,NaN,NaN,NaN,
1207,-0.01533998,7.561391E-12,-9.867667E-07,NaN,NaN,NaN,NaN,NaN,
1209,0.002092019,1.68982E-11,-9.86733E-07,NaN,NaN,NaN,NaN,NaN,
1211,0.01687711,2.637383E-11,-9.866802E-07,NaN,NaN,NaN,NaN,NaN,
1213,-0.01258344,1.450325E-11,-9.866512E-07,0.398108,-0.04921562,0.008861639,-2.993359E-11,-8.816145E-13,
1215,0.01252303,1.85816E-11,-9.866141E-07,NaN,NaN,NaN,NaN,NaN,
1217,-0.01142444,1.620401E-11,-9.865817E-07,NaN,NaN,NaN,NaN,NaN,
1219,0.01125439,1.832128E-11,-9.865449E-07,NaN,NaN,NaN,NaN,NaN,
1221,-0.01010882,1.731471E-11,-9.865104E-07,NaN,NaN,NaN,NaN,NaN,
1223,0.00995443,1.726264E-11,-9.864758E-07,NaN,NaN,NaN,NaN,NaN,
1225,-0.03706342,3.257436E-12,-9.864693E-07,0.251189,-0.05004089,0.0003810727,-2.850872E-11,-6.173404E-12,
1227,0.05797466,4.995881E-11,-9.863694E-07,NaN,NaN,NaN,NaN,NaN,
1229,-0.009607626,2.615314E-12,-9.863642E-07,NaN,NaN,NaN,NaN,NaN,
1231,-0.04943653,-4.48274E-12,-9.863732E-07,NaN,NaN,NaN,NaN,NaN,
